,JJ,NN,NNP,IN,RB,VBN,DT,MD,VBD,NNPS
JJ,0.0,233.0,51.0,6.0,55.0,30.0,0.0,1.0,10.0,0.0
NN,91.0,0.0,33.0,17.0,22.0,1.0,3.0,13.0,4.0,0.0
NNP,33.0,35.0,0.0,11.0,7.0,0.0,19.0,0.0,1.0,21.0
IN,1.0,8.0,11.0,0.0,71.0,0.0,13.0,0.0,0.0,0.0
RB,43.0,11.0,9.0,21.0,0.0,1.0,3.0,0.0,0.0,0.0
VBN,24.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0
DT,2.0,3.0,13.0,14.0,10.0,0.0,0.0,1.0,0.0,0.0
MD,5.0,19.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0
VBD,7.0,4.0,0.0,2.0,0.0,42.0,0.0,0.0,0.0,0.0
NNPS,3.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
